index	smarts
mh514	OC1CCCC1
mh515	CCN(CC)CC
mh516	CC(O)=NC(Cc1ccccc1)C(=O)O
mh517	C=NC(Cc1c[nH]c2ccc(O)cc12)C(=O)O
mh518	C:C:C:C:CCCCC1:C:C:C(O):C:C:1
mh519	CC(=O)N1CC2CC(C1)c(ccc)n(C2)c=O
mh520	CNCCCl
mh521	OCCCCCO
mh522	O=CNCCO
mh523	CC1CCc2cccc(=O)n2C1
mh524	C(Cc1c[nH]c(c)c1ccc)C(=O)O
mh525	ccc(OC)cOC
mh526	Cc1c[nH]c(c)c1cc(O)c
mh527	CC1CCC(CC1)C=O
mh528	C1Cc2ccccc2CN1
mh529	CCCC(N)=O
mh530	C(Ccc[nH]c1ccc(O)cc1)C(=O)O
mh531	C=C1CC=C2CCCCC2C1
mh532	CC(=O)CCCC=O
mh533	CCc1ccccc1
mh534	c1cc2OC(C)(C)CCc2c2oc(=O)ccc12
mh535	C(=O)Nc1ccccc1
mh536	CCC1=CC(=O)CCC1C
mh537	C:CCl
mh538	C(Cc1c[nH]c(cccO)c1c)C(=O)O
mh539	CC:CCl
mh540	C(O)=NC(Cc1c[nH]c2ccccc12)C(=O)O
mh541	OCN1CC2CC(c(n(C2)c(=O)cc)c)C1
mh542	CCC(C)C(=O)O
mh543	NC(C(O)=O)Cc(cc)ccc
mh544	OC:CCl
mh545	CN(C)C1:C:C:C:C:C:1
mh546	O=C(:O):C:C:C1:C:C:C2OCCC:2:C:1
mh547	N=C(O)N1CC2CC(C1)c(cc)n(C2)c(=O)c
mh548	CC(C)CCC=O
mh549	N1CC2CC(C1)cn(C2)c(=O)ccc
mh550	CCC(CCCC(=O)O)CN=CO
mh551	cc1cc(O)ccc1[nH]c
mh552	CCC1:C(C):C2:C:C:C:C:C:2:O:C:1=O
mh553	CN=C(O)COC1:C:C2OC(C)(C)CCC:2:C2:O:C(=O):C:C(C):C:1:2
mh554	C(O)=NCC1CCC(CC1)C(=O)O
mh555	CN=C(O)CO
mh556	CC(C(O)=O)N
mh557	NC1CCCCC1N
mh558	Cn1c(cccc1=O)C1CCCN(C1)C=O
mh559	CC(C)C(C)C
mh560	CNCC(O)CO
mh561	Cc1c[nH]c(ccc(O)c)c1
mh562	C(=O)C(Cc1c[nH]c2ccc(O)cc12)N=CO
mh563	CC1CC(CNC=O)c2cccc(=O)n2C1
mh564	c(c)cccc
mh565	CCC(C)(C)CC(C)=O
mh566	CCC(CC)C(=O)O
mh567	C:C:C(=O):O:C1:C:C:C:C(:C:1)OCC(O)=NCCC1:C:N:C2:C:C:C:C:C:1:2
mh568	c1c[nH]cc1cc(O)cc
mh569	CN1CCNCC1
mh570	C(O)=NC(Cc1c[nH]cccc(O)cc1)C(=O)O
mh571	CC(O)=NC(Ccccccc)C(=O)O
mh572	[nH]c1ccc(O)cc1
mh573	CC(C)CCC(C)C(=O)O
mh574	c(cc)cccO
mh575	cc[nH]c1ccccc1
mh576	OC1CCCCC1Cl
mh577	C(=O)c(c)cccc
mh578	CC=C1CCCCC1
mh579	OC1CCC(O)CC1
mh580	N=C(O)N1CC2CC(C1)c(c)n(C2)c(=O)cc
mh581	O=C1:C:C:C:C2C3CC(CN(C3)C(O)=NC3:C:C:C:C:C:3)CN:2:1
mh582	Cc1c[nH]c(c)c1ccc
mh583	cOCC(=O)N1CC2CC(C1)c1cccc(=O)n1C2
mh584	CC1CCCC1O
mh585	C(Cc1c[nH]cccccc1)C(=O)O
mh586	C(Cc1c[nH]c(ccc(O)c)c1)C(=O)O
mh587	cc-c1ccccc1
mh588	NC(C(O)=O)Cc(c[nH]c1cc)c1ccO
mh589	Cc1c[nH]c(cccO)c1c
